epoch,train_loss,train_acc,test_loss,test_acc
1,0.04229267509874577,98.815,0.019684727664571255,99.37
2,0.03740218216534704,98.91333333333333,0.018221074691973628,99.47
3,0.03539294133315173,98.935,0.01959634101949632,99.39
4,0.031254773636278696,99.085,0.015935026897932403,99.55
5,0.03098733664912482,99.08166666666666,0.017256009099946824,99.55
6,0.02957874567609591,99.12,0.015696579650102647,99.55
7,0.028758515338304765,99.11666666666666,0.018309270328609274,99.46
8,0.021861161241889932,99.33166666666666,0.013169644022127613,99.62
9,0.01834067985932731,99.42833333333333,0.01566898450255394,99.56
10,0.017527865247715574,99.45833333333333,0.014169529260834679,99.6
11,0.01680969536814373,99.455,0.014813034682265424,99.57
12,0.01489644181340894,99.53333333333333,0.01272260456753429,99.62
13,0.013899291525703544,99.57666666666667,0.014024359029735933,99.62
14,0.012041007182979957,99.63,0.014535397056170041,99.6
15,0.011004088951735564,99.635,0.013767085753988795,99.66
16,0.010355216916414793,99.665,0.014386639037365968,99.67
17,0.009674195067048034,99.69333333333333,0.014117213400913898,99.66
18,0.010013837836459667,99.7,0.013975849155031028,99.68
19,0.00996540917026432,99.68666666666667,0.014129207189762382,99.66
20,0.008418082977773278,99.72666666666667,0.014880032755081629,99.65
